Date & Time,Temperature,Date
01-14-1981 01:00 AM,31,01-14-1981
01-14-1981 02:00 AM,28,01-14-1981
01-14-1981 03:00 AM,25,01-14-1981
01-14-1981 04:00 AM,21,01-14-1981
01-14-1981 05:00 AM,24,01-14-1981
01-14-1981 06:00 AM,26,01-14-1981
01-14-1981 07:00 AM,24,01-14-1981
01-14-1981 08:00 AM,26,01-14-1981
01-14-1981 09:00 AM,34,01-14-1981
01-17-1981 09:00 PM,32,01-17-1981
01-17-1981 10:00 PM,32,01-17-1981
01-17-1981 11:00 PM,32,01-17-1981
01-18-1981 01:00 AM,34,01-18-1981
01-18-1981 02:00 AM,33,01-18-1981
01-18-1981 03:00 AM,32,01-18-1981
01-18-1981 04:00 AM,31,01-18-1981
01-18-1981 05:00 AM,32,01-18-1981
01-18-1981 06:00 AM,31,01-18-1981
01-18-1981 07:00 AM,31,01-18-1981
01-18-1981 08:00 AM,31,01-18-1981
01-19-1981 03:00 AM,30,01-19-1981
01-19-1981 04:00 AM,31,01-19-1981
01-19-1981 05:00 AM,31,01-19-1981
01-19-1981 06:00 AM,31,01-19-1981
01-19-1981 07:00 AM,31,01-19-1981
01-19-1981 08:00 AM,31,01-19-1981
02-04-1981 04:00 AM,33,02-04-1981
02-04-1981 06:00 AM,33,02-04-1981
02-04-1981 07:00 AM,33,02-04-1981
12-11-1981 06:00 AM,34,12-11-1981
12-11-1981 07:00 AM,34,12-11-1981
12-11-1981 08:00 AM,34,12-11-1981
12-12-1981 02:00 AM,34,12-12-1981
12-12-1981 06:00 AM,34,12-12-1981
12-19-1981 06:00 AM,32,12-19-1981
12-19-1981 07:00 AM,31,12-19-1981
12-19-1981 08:00 AM,30,12-19-1981
12-19-1981 09:00 AM,30,12-19-1981
12-19-1981 10:00 AM,32,12-19-1981
12-19-1981 08:00 PM,34,12-19-1981
12-19-1981 09:00 PM,33,12-19-1981
12-20-1981 12:00 AM,34,12-20-1981
12-20-1981 01:00 AM,33,12-20-1981
12-20-1981 02:00 AM,33,12-20-1981
12-20-1981 03:00 AM,32,12-20-1981
12-20-1981 04:00 AM,33,12-20-1981
12-20-1981 05:00 AM,33,12-20-1981
12-20-1981 06:00 AM,33,12-20-1981
12-20-1981 07:00 AM,32,12-20-1981
12-20-1981 08:00 AM,32,12-20-1981
12-20-1981 11:00 PM,34,12-20-1981
12-21-1981 03:00 AM,34,12-21-1981
12-21-1981 06:00 AM,34,12-21-1981
